caseID,caseCG_in,caseIy_kgm2,caseCLdeltaE,caseTau_s,isStable,verticalSpeedPhaseMargin_deg,altitudePhaseMargin_deg,verticalSpeedCrossover_radps,altitudeCrossover_radps,bandwidthSeparationRatio,smallOvershoot_pct,smallRiseTime_s,smallSettlingTime_s,smallFinalError_ft,smallPeakPitchCommand_deg,smallPeakVerticalSpeed_fpm,smallPeakElevator_deg,smallPeakActuatorRate_degps,smallPeakSpeedFraction,smallPeakAlpha_deg,operationalOvershoot_pct,operationalRiseTime_s,operationalSettlingTime_s,operationalFinalError_ft,operationalPeakPitchCommand_deg,operationalPeakPitch_deg,operationalPeakVerticalSpeed_fpm,operationalPeakElevator_deg,operationalPeakActuatorRate_degps,operationalPeakSpeedFraction,operationalPeakAlpha_deg,verticalSpeedLimitActive,pitchCommandLimitActive,elevatorPositionLimitActive,elevatorRateLimitActive
41,44.15,1800,0.427,0.035,1,129.530251404177,71.3015878092161,0.410966898777636,0.320034508599157,3.6480356214624,0,14.12,55.96,0.0378021188880764,0.570980031307398,83.5149089902652,0.0802267875669835,0.0477594623186418,0.0073818169444019,0.0815455865079664,0,39,72.6,0.469268351697162,1.74365136825783,1.10887973228932,197.383799320172,0.435757504930412,0.259868286496778,0.0645412576589876,0.575927414100313,1,0,0,0
42,44.15,1800,0.427,0.05,1,129.287864190016,71.3098841591367,0.413000940686065,0.320039232795756,3.64495710461668,0,14.12,56.02,0.0378022883907939,0.57195927993522,83.780801019065,0.08074879706895,0.048504421793116,0.00738638111604576,0.0820654361320677,0,39.02,72.62,0.469271390188848,1.74394272617463,1.1089191480014,198.144653000456,0.436431183556412,0.259901077807025,0.0645441778814248,0.576605109009213,1,0,0,0
43,44.15,1800,0.5,0.02,1,129.011527507763,71.2438965357434,0.413235792929661,0.320192111506341,3.63058615193441,0,14.18,57.42,0.0393567987948776,0.571993724522531,83.4914058278983,0.080623527997699,0.0475616391632699,0.00739069801668369,0.0822480727995688,0,39.14,73.72,0.487458280099845,1.74357746553183,1.11267647461597,196.846813576915,0.441162977060215,0.258887438252092,0.0646963084742082,0.583274758879659,1,0,0,0
44,44.15,1800,0.5,0.035,1,128.755149335079,71.2523018966491,0.415358663238572,0.320196898489087,3.62800385132504,0,14.18,57.44,0.0393569703788946,0.572951619051676,83.7519653963981,0.0811401019729517,0.0482919963682545,0.00739517785210017,0.0827644538685381,0,39.14,73.7,0.487461386551739,1.74390739807538,1.11271728234698,197.584499247461,0.441816630641952,0.260370986068227,0.0646991919831432,0.5839370355469,1,0,0,0
45,44.15,1800,0.5,0.05,1,128.485479020964,71.2607043127837,0.417586368125245,0.320201746733286,3.6249413233077,0,14.18,57.48,0.0393571418970516,0.573933784704155,84.0204942362074,0.0816652438070753,0.0490438528141455,0.00739990197588746,0.083293133808973,0,39.14,73.68,0.487464491516901,1.7441835904628,1.11275703473182,198.351930027748,0.442499826566357,0.260407848626723,0.0647021179633515,0.584626110275378,1,0,0,0
46,44.15,1828.6803192735,0.3,0.02,1,130.93743843824,71.3776112762005,0.402461991107244,0.319758188497476,3.68568973535531,0,14.04,53.42,0.035301043522245,0.566779952427906,82.8784901073778,0.0782139002917882,0.0462035787324797,0.00735601181982881,0.0790341075147905,0,38.74,68.54,0.439898038227274,1.74287477065043,1.1024087763009,196.363554253188,0.425012115859941,0.258161577231015,0.0642748293799273,0.561917206066593,1,0,0,0
47,44.15,1828.6803192735,0.3,0.035,1,130.742469014995,71.385733638644,0.404146218240529,0.319762632452041,3.68309501948645,0,14.04,53.38,0.0353012094683397,0.567716671341672,83.1316087968842,0.0787190957139075,0.0469172746184674,0.00736009773288179,0.0795331496574544,0,38.76,68.48,0.439900982744917,1.7432456827257,1.1024483789584,197.097331862472,0.425641878579694,0.259675034257869,0.0642776984062728,0.562551354219326,1,0,0,0
48,44.15,1828.6803192735,0.3,0.05,1,130.53895967491,71.3938539792542,0.405900588164141,0.319767123348036,3.6800034901502,0,14.04,53.36,0.0353013754294487,0.568677966391918,83.3930160273112,0.079233325949842,0.0476523471373545,0.00736441148084098,0.0800413860830138,0,38.76,68.4,0.439903924979882,1.74356076768942,1.10248726632651,197.860391702956,0.426301749196622,0.259716660456268,0.0642806103444041,0.563212015358756,1,0,0,0
49,44.15,1828.6803192735,0.427,0.02,1,129.734066267696,71.2945503929458,0.40925279591316,0.320030801267152,3.65107252148677,0,14.12,55.9,0.0378019498524933,0.570110469032841,83.2799473469301,0.0797500164773527,0.047097508280193,0.007377870795153,0.0810857733455257,0,39,72.58,0.469265316462095,1.7433478749684,1.10884226918887,196.714897262836,0.43516832922345,0.259026065256016,0.0645386290681966,0.575334139920463,1,0,0,0
50,44.15,1828.6803192735,0.427,0.035,1,129.501986837351,71.3028520628551,0.411204620528938,0.32003543541294,3.64849377067904,0,14.12,55.96,0.0378021193748946,0.571067456984738,83.538758983671,0.0802639738225081,0.0478230759031424,0.00738221461400322,0.0815976568623888,0,39,72.6,0.469268359169062,1.74369107548701,1.10888302403675,197.453592837257,0.435814250657503,0.260545728751988,0.064541510742018,0.575987072647385,1,0,0,0
51,44.15,1828.6803192735,0.427,0.05,1,129.258696586368,71.3111511756285,0.413246308970574,0.320040124801694,3.64542852883067,0,14.12,56.02,0.0378022888771984,0.572048598632228,83.8051842695789,0.0807874111532978,0.0485702162719497,0.0073867933222445,0.0821188288744291,0,39.02,72.62,0.469271396894968,1.74397979465102,1.10892215577494,198.217374599564,0.436490200763872,0.260594305044214,0.0645444354408428,0.576667337137918,1,0,0,0
52,44.15,1828.6803192735,0.5,0.02,1,128.980574240451,71.2451693274294,0.413491153581636,0.320193240463377,3.63102054845882,0,14.18,57.42,0.0393567993932295,0.572080156241484,83.5151818498313,0.0806606345673479,0.047624025705597,0.00739109425123109,0.0822996744187341,0,39.14,73.72,0.487458290714277,1.74362039158502,1.11267946057615,196.915343549698,0.441219457676036,0.259539082586831,0.0646965583795276,0.583334243818739,1,0,0,0
53,44.15,1828.6803192735,0.5,0.035,1,128.723157719717,71.2535774712462,0.415622618005402,0.320197993021989,3.62845156289736,0,14.18,57.46,0.0393569709714988,0.573039870777407,83.7762538593226,0.081178593159655,0.0483564641222934,0.00739558810777109,0.0828173487302099,0,39.14,73.7,0.487461397057467,1.74394756111011,1.11271998649069,197.655701334047,0.441874745007924,0.26104742480106,0.0646994462291979,0.583998084184208,1,0,0,0
54,44.15,1828.6803192735,0.5,0.05,1,128.452315631296,71.2619826923828,0.417859942480968,0.320202806396065,3.6254020096881,0,14.18,57.48,0.0393571424843566,0.574023948715991,84.0457026894669,0.0817051844183654,0.0491105276999356,0.00740033270397627,0.0833472966736381,0,39.14,73.68,0.487464501340119,1.74422104278433,1.11276019146274,198.425154472874,0.442559948283287,0.261099911589942,0.0647023767057104,0.584689783082036,1,0,0,0
55,44.15,2300,0.3,0.02,1,130.55950153441,71.3980330861741,0.405746914877805,0.319769322179803,3.69263484116597,0,14.04,53.38,0.0353010485303999,0.568165225828901,83.2576824752916,0.0788281307750742,0.0472354551787396,0.00736208534742157,0.0798674270765857,0,38.76,68.46,0.439898101318842,1.74347394299447,1.10245179776962,197.50262580146,0.425929746013712,0.26890774113204,0.0642789745749164,0.562866123905829,1,0,0,0
