caseID,plantCaseID,aileronTau_s,isDynamicStable,neutralHeadingPoleMagnitude,minimumDynamicDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskMargin,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
541,181,0.035,1,0,0.515580616676577,0.566896799125734,1.57813692198132,76.551714785659,18.5697087666147,0.501187233627272
542,181,0.05,1,0,0.518803657366622,0.562401802439906,1.57197269207766,76.3337265265424,18.428733047255,0.515228644581756
543,181,0.075,1,0,0.524367800787922,0.554168587992919,1.51600981765027,74.324611909616,17.2242705383919,2.05116217882557
544,182,0.035,1,0,0.513401382969172,0.566757174684649,1.58552347680124,76.8120693957374,18.7410526841869,0.492039535681451
545,182,0.05,1,0,0.516609623991323,0.562429849122098,1.57966596804746,76.6056860379236,18.6049589844803,0.501187233627272
546,182,0.075,1,0,0.522149830749215,0.554475899175578,1.54967441170639,75.5397129739195,17.9332378972543,2.12813904598271
547,183,0.035,1,0,0.511227212263726,0.564537413359773,1.59255104941055,77.0589033924372,18.9065948899334,0.478630092322638
548,183,0.05,1,0,0.5144193863662,0.560386768278089,1.5869566730159,76.8624770751348,18.7746104127406,0.487528490103386
549,183,0.075,1,0,0.519933339371216,0.552730422609737,1.57714509602564,76.5166845070745,18.5469036948749,0.505824662003114
550,184,0.035,1,0,0.516735166852129,0.474561235792398,1.5193099631277,74.4446028184404,17.2918479654467,1.97696964011186
551,184,0.05,1,0,0.520024635509466,0.470172259370371,1.47408366191407,72.7835355440003,16.398472200117,1.99526231496888
552,184,0.075,1,0,0.52570731526373,0.462301746451891,1.40122620416838,70.0311787120753,15.0874546066031,2.03235701093622
553,185,0.035,1,0,0.513973545267536,0.467599933004421,1.55286154317535,75.6537291279473,18.0027251901692,2.07014134879104
554,185,0.05,1,0,0.517243071088089,0.463430046003642,1.50505970628325,73.9251059837,17.0028521711789,2.08929613085404
555,185,0.075,1,0,0.522893357664004,0.455918157656849,1.42833980329895,71.066567448848,15.5589181301313,2.10862814993329
556,186,0.035,1,0,0.511220865708023,0.458728080121124,1.58490789757544,76.7904077432217,18.7266706368463,2.16770410481969
557,186,0.05,1,0,0.51446844128672,0.45477918722275,1.53444653767827,74.9925188803886,17.607037120577,2.18776162394955
558,186,0.075,1,0,0.520082648262383,0.447628917723394,1.45368102108058,72.0223458658551,16.0167187204718,2.2080047330189
559,187,0.035,1,0,0.517969525680106,0.403417681171471,1.41075350881411,70.3965072401288,15.2510665898945,1.94088587759278
560,187,0.05,1,0,0.521329387798565,0.39940613396539,1.36891699806541,68.7800419741737,14.548076568683,1.94088587759278
561,187,0.075,1,0,0.527137812669453,0.392290140569983,1.30158217542885,66.1114393000245,13.4921359316853,1.95884467350599
562,188,0.035,1,0,0.514607243933476,0.39258894423744,1.43512753770278,71.3237030108035,15.6798492539686,2.01372424986239
563,188,0.05,1,0,0.5179413196758,0.388783614546395,1.39104349221177,69.6389058576588,14.9149416772379,2.03235701093622
564,188,0.075,1,0,0.523707692956274,0.381995477029453,1.32038362425485,66.864931721914,13.7784885681428,2.05116217882557
565,189,0.035,1,0,0.511259408580535,0.380550690865435,1.45578916948551,72.1013406264387,16.0556011729536,2.10862814993329
