caseID,sideForceScale,rollMomentScale,yawMomentScale,rudderEffectivenessScale,inertiaScale,IxzNormalized,initialYawRateIntegralRatio,initialBetaIntegralRatio,peakInitialActuatorPosition_deg,peakInitialActuatorRate_degps
450,1,1.2,1,1,1.2,0.1,0.679476836678299,0.549710257467998,1.01057359611864,14.5964200601679
451,1,1.2,1,1.2,0.8,-0.1,0.709878362515382,0.665185115021721,0.915451979101829,14.3171232556168
452,1,1.2,1,1.2,0.8,0,0.681763074973828,0.625462922346625,0.929519868446772,14.3851557017196
453,1,1.2,1,1.2,0.8,0.1,0.650078069105523,0.586093345381028,0.941611361274997,14.4451168399713
454,1,1.2,1,1.2,1,-0.1,0.723074942246598,0.650642285223598,0.951827489163494,14.4258994964792
455,1,1.2,1,1.2,1,0,0.691030055564808,0.604131470528144,0.964547634681326,14.4824325224566
456,1,1.2,1,1.2,1,0.1,0.651980347320206,0.5552200528128,0.975469647995473,14.5322373152535
457,1,1.2,1,1.2,1.2,-0.1,0.735690181766556,0.640201424976799,0.977176002576009,14.4991391368306
458,1,1.2,1,1.2,1.2,0,0.699386981648594,0.585756985885579,0.990242896045468,14.547467398365
459,1,1.2,1,1.2,1.2,0.1,0.654032826560278,0.529127891340897,1.00143757046631,14.5900315265734
460,1,1.2,1.2,0.8,0.8,-0.1,0.781257929262373,0.729504555247314,0.916091971729943,14.2523014561762
461,1,1.2,1.2,0.8,0.8,0,0.756337675418395,0.694682648821604,0.929655661142363,14.3200512141358
462,1,1.2,1.2,0.8,0.8,0.1,0.729905216266253,0.660675481220101,0.94127602864149,14.3786678461595
463,1,1.2,1.2,0.8,1,-0.1,0.790484746922834,0.714696888871492,0.95224281840425,14.3736934248519
464,1,1.2,1.2,0.8,1,0,0.762426340117061,0.673381973376305,0.964523762160433,14.4300448756963
465,1,1.2,1.2,0.8,1,0.1,0.729057130143001,0.632733135793505,0.975251932887723,14.4787764151205
466,1,1.2,1.2,0.8,1.2,-0.1,0.799088283819988,0.703770144145764,0.978807844360962,14.4554411585038
467,1,1.2,1.2,0.8,1.2,0,0.767291135235445,0.661645442454018,0.991412177216103,14.5036442230042
468,1,1.2,1.2,0.8,1.2,0.1,0.72779339844018,0.618236301572179,1.00217934949503,14.5453156995393
